Version,Post_Variable,Feature,Mutual_Information,Abs_Pearson,Combined_Score,Prevalencia_Post
target_f_predictibilidad_maxima,target,Disnea_encoded,0.0006214441898373391,0.015976810702363325,0.005228054143595135,0.1943
target_f_predictibilidad_maxima,target,Cuello Móvil_encoded,0.0037327451831195013,0.0086267651932173,0.00520095118614884,0.1943
target_f_predictibilidad_maxima,target,Antecedente hematológicos _plavix,0.0019106114715385925,0.012799707132398,0.005177340169796414,0.1943
target_f_predictibilidad_maxima,target,Antecedentes cardiovasculares_valvulopatia,0.0,0.01717612716064437,0.005152838148193311,0.1943
target_f_predictibilidad_maxima,target,Color de Piel_ictericia,0.0,0.016489810534341367,0.00494694316030241,0.1943
target_f_predictibilidad_maxima,target,score_proc_ant_medium_severity,0.0026822773508703435,0.009618489558641755,0.004763141013201767,0.1943
target_f_predictibilidad_maxima,target,Antecedentes quirúrgicos Code_L,2.6548439601592477e-05,0.015665119757845944,0.004718119835074897,0.1943
target_f_predictibilidad_maxima,target,Condición_testigo jehova,0.0,0.015704923809779996,0.004711477142933998,0.1943
target_f_predictibilidad_maxima,target,Condición_farmacodependencia,0.0,0.015617977850200847,0.004685393355060254,0.1943
target_f_predictibilidad_maxima,target,Respuesta Verbal_encoded,0.0,0.015607494846315205,0.004682248453894562,0.1943
target_f_predictibilidad_maxima,target,Antecedentes cardiovasculares_cardiopatias,0.0027134097172099025,0.009031059252229736,0.0046087045777158525,0.1943
target_f_predictibilidad_maxima,target,Antecedente gastrointestinales_falla hepatica,0.0035747821720031325,0.006922955497149791,0.0045792341695471295,0.1943
target_f_predictibilidad_maxima,target,Procedimiento propuesto Code_H,0.0033167487009597707,0.0071438246952993945,0.004464871499261658,0.1943
target_f_predictibilidad_maxima,target,Antecedente endocrinológicos_tiroides,0.0012274928343254388,0.011994496285544415,0.004457593869691131,0.1943
target_f_predictibilidad_maxima,target,Anestesia previa_desconocido,0.0035420985524001747,0.006452012968127983,0.004415072877118517,0.1943
target_f_predictibilidad_maxima,target,Antecedente neurológicos_negativo,0.002278833945347891,0.0090569386540119,0.004312265357947094,0.1943
target_f_predictibilidad_maxima,target,Sistema Nervioso_par craneal anormal,0.0,0.014289482668259728,0.004286844800477918,0.1943
target_f_predictibilidad_maxima,target,Procedimiento propuesto Code_J,0.0034225820827398223,0.006251265176080025,0.004271187010741882,0.1943
target_f_predictibilidad_maxima,target,Antecedentes cardiovasculares_infarto,0.0022642343858647607,0.008894760956689122,0.004253392357112069,0.1943
target_f_predictibilidad_maxima,target,Anestesia previa_local,0.0,0.014099587882954213,0.004229876364886264,0.1943
target_f_predictibilidad_maxima,target,Examen_Leucocitos (ml),0.0,0.0140862474829443,0.00422587424488329,0.1943
target_f_predictibilidad_maxima,target,Examen_K (meq/L),0.0,0.01381595698196796,0.004144787094590388,0.1943
target_f_predictibilidad_maxima,target,Antecedentes quirúrgicos Code_NO ENCONTRADO,0.0006659791110354973,0.01211432542654954,0.004100483005689709,0.1943
target_f_predictibilidad_maxima,target,Alérgeno_med_urologico,0.0,0.013520380904837046,0.004056114271451114,0.1943
target_f_predictibilidad_maxima,target,Sistema Nervioso_sedado,0.0,0.013520380904837039,0.004056114271451111,0.1943
target_f_predictibilidad_maxima,target,predicted_label_dx_encoded,0.005300681862263623,0.0007480251767737294,0.003934884856616655,0.1943
target_f_predictibilidad_maxima,target,Sistema Respiratorio_auscultacion anormal,0.0017008842460974893,0.00889896881977641,0.0038603096182011653,0.1943
target_f_predictibilidad_maxima,target,Sistema cardiovascular_otro,0.000666599463982509,0.011258572031487928,0.003844191234234135,0.1943
target_f_predictibilidad_maxima,target,Antecedentes quirúrgicos Code_nan,0.003018132552404129,0.005127739322351092,0.0036510145833882177,0.1943
target_f_predictibilidad_maxima,target,Alérgeno_otro,7.081946497700109e-05,0.01194984192983133,0.003634526204433299,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_B,0.003877792145774439,0.0023839458687139044,0.0034296382626562787,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_R,0.0008556760848270617,0.009247581570755701,0.0033732477306056535,0.1943
target_f_predictibilidad_maxima,target,Anestesia previa_peridural,0.0,0.011243719780481295,0.0033731159341443885,0.1943
target_f_predictibilidad_maxima,target,Alérgeno_med_cardio_renal_hemostasia,0.00226505043490155,0.0059559303158800226,0.0033723143991950914,0.1943
